State,Area_Name,Rural-urban_Continuum Code_2013,Economic_typology_2015,POP_ESTIMATE_2019
IN,Fulton County,7,3,"19,974"
IN,Gibson County,6,3,"33,659"
IN,Grant County,4,3,"65,769"
IN,Greene County,6,0,"31,922"
IN,Hamilton County,1,0,"338,011"
IN,Hancock County,1,0,"78,168"
IN,Harrison County,1,5,"40,515"
IN,Hendricks County,1,0,"170,311"
IN,Henry County,4,0,"47,972"
IN,Howard County,3,3,"82,544"
IN,Huntington County,6,3,"36,520"
IN,Jackson County,4,3,"44,231"
IN,Jasper County,1,0,"33,562"
IN,Jay County,6,3,"20,436"
IN,Jefferson County,6,3,"32,308"
IN,Jennings County,6,3,"27,735"
IN,Johnson County,1,0,"158,167"
IN,Knox County,5,4,"36,594"
IN,Kosciusko County,4,3,"79,456"
IN,LaGrange County,6,3,"39,614"
IN,Lake County,1,0,"485,493"
IN,LaPorte County,3,0,"109,888"
IN,Lawrence County,6,0,"45,370"
IN,Madison County,1,0,"129,569"
IN,Marion County,1,0,"964,582"
IN,Marshall County,6,3,"46,258"
IN,Martin County,7,4,"10,255"
IN,Miami County,6,4,"35,516"
IN,Monroe County,3,4,"148,431"
IN,Montgomery County,6,3,"38,338"
IN,Morgan County,1,0,"70,489"
IN,Newton County,1,0,"13,984"
IN,Noble County,6,3,"47,744"
IN,Ohio County,1,5,"5,875"
IN,Orange County,6,5,"19,646"
IN,Owen County,3,3,"20,799"
IN,Parke County,6,4,"16,937"
IN,Perry County,6,3,"19,169"
IN,Pike County,8,2,"12,389"
IN,Porter County,1,3,"170,389"
IN,Posey County,2,3,"25,427"
IN,Pulaski County,6,3,"12,353"
IN,Putnam County,1,0,"37,576"
IN,Randolph County,6,3,"24,665"
IN,Ripley County,6,0,"28,324"
IN,Rush County,6,0,"16,581"
IN,St. Joseph County,2,0,"271,826"
IN,Scott County,1,3,"23,873"
IN,Shelby County,1,3,"44,729"
IN,Spencer County,8,0,"20,277"
IN,Starke County,6,0,"22,995"
IN,Steuben County,7,3,"34,594"
IN,Sullivan County,3,2,"20,669"
IN,Switzerland County,8,5,"10,751"
IN,Tippecanoe County,3,4,"195,732"
IN,Tipton County,6,0,"15,148"
IN,Union County,1,0,"7,054"
IN,Vanderburgh County,2,0,"181,451"
IN,Vermillion County,3,3,"15,498"
IN,Vigo County,3,0,"107,038"
IN,Wabash County,6,3,"30,996"
IN,Warren County,8,1,"8,265"
IN,Warrick County,2,0,"62,998"
IN,Washington County,1,3,"28,036"
IN,Wayne County,5,0,"65,884"
IN,Wells County,2,3,"28,296"
IN,White County,6,3,"24,102"
IN,Whitley County,2,3,"33,964"
IA,Adair County,8,0,"7,152"
IA,Adams County,9,3,"3,602"
IA,Allamakee County,6,0,"13,687"
IA,Appanoose County,7,0,"12,426"
IA,Audubon County,8,1,"5,496"
IA,Benton County,2,0,"25,645"
IA,Black Hawk County,3,3,"131,228"
IA,Boone County,6,0,"26,234"
IA,Bremer County,3,0,"25,062"
IA,Buchanan County,6,0,"21,175"
IA,Buena Vista County,7,3,"19,620"
IA,Butler County,8,1,"14,439"
IA,Calhoun County,9,1,"9,668"
IA,Carroll County,7,0,"20,165"
IA,Cass County,6,0,"12,836"
IA,Cedar County,6,0,"18,627"
IA,Cerro Gordo County,5,0,"42,450"
IA,Cherokee County,6,3,"11,235"
IA,Chickasaw County,6,3,"11,933"
IA,Clarke County,6,3,"9,395"
IA,Clay County,7,0,"16,016"
IA,Clayton County,8,0,"17,549"
IA,Clinton County,4,3,"46,429"
IA,Crawford County,7,3,"16,820"
IA,Dallas County,2,0,"93,453"
IA,Davis County,9,1,"9,000"
IA,Decatur County,9,0,"7,870"
IA,Delaware County,6,3,"17,011"
IA,Des Moines County,5,3,"38,967"
IA,Dickinson County,7,5,"17,258"
IA,Dubuque County,3,0,"97,311"
IA,Emmet County,7,0,"9,208"
IA,Fayette County,6,0,"19,650"
IA,Floyd County,7,3,"15,642"
IA,Franklin County,7,1,"10,070"
IA,Fremont County,8,3,"6,960"
IA,Greene County,6,1,"8,888"
IA,Grundy County,3,1,"12,232"
IA,Guthrie County,2,1,"10,689"
IA,Hamilton County,6,1,"14,773"
IA,Hancock County,7,3,"10,630"
IA,Hardin County,6,1,"16,846"
IA,Harrison County,2,1,"14,049"
IA,Henry County,6,3,"19,954"
IA,Howard County,6,1,"9,158"
IA,Humboldt County,7,3,"9,558"
IA,Ida County,8,3,"6,860"
IA,Iowa County,6,3,"16,184"
IA,Jackson County,6,0,"19,439"
IA,Jasper County,6,0,"37,185"
IA,Jefferson County,7,0,"18,295"
IA,Johnson County,3,4,"151,140"
IA,Jones County,2,0,"20,681"
IA,Keokuk County,8,1,"10,246"
IA,Kossuth County,7,1,"14,813"
IA,Lee County,5,3,"33,657"
IA,Linn County,2,0,"226,706"
IA,Louisa County,8,3,"11,035"
IA,Lucas County,6,0,"8,600"
IA,Lyon County,8,1,"11,755"
IA,Madison County,2,0,"16,338"
IA,Mahaska County,7,0,"22,095"
IA,Marion County,6,3,"33,253"
IA,Marshall County,4,3,"39,369"
IA,Mills County,2,4,"15,109"
IA,Mitchell County,7,3,"10,586"
IA,Monona County,6,1,"8,615"
IA,Monroe County,7,3,"7,707"
IA,Montgomery County,6,0,"9,917"
IA,Muscatine County,4,3,"42,664"
IA,O'Brien County,7,1,"13,753"
IA,Osceola County,7,1,"5,958"
IA,Page County,6,0,"15,107"
IA,Palo Alto County,7,1,"8,886"
IA,Plymouth County,3,3,"25,177"
IA,Pocahontas County,9,1,"6,619"
IA,Polk County,2,0,"490,161"
IA,Pottawattamie County,2,0,"93,206"
IA,Poweshiek County,7,0,"18,504"
IA,Ringgold County,9,1,"4,894"
IA,Sac County,9,1,"9,721"
IA,Scott County,2,0,"172,943"
IA,Shelby County,6,0,"11,454"
IA,Sioux County,7,3,"34,855"
IA,Story County,3,4,"97,117"
IA,Tama County,6,1,"16,854"
IA,Taylor County,9,1,"6,121"
IA,Union County,6,3,"12,241"
IA,Van Buren County,9,3,"7,044"
IA,Wapello County,5,3,"34,969"
IA,Warren County,2,0,"51,466"
IA,Washington County,3,0,"21,965"
IA,Wayne County,9,3,"6,441"
IA,Webster County,5,0,"35,904"
IA,Winnebago County,7,0,"10,354"
IA,Winneshiek County,7,0,"19,991"
IA,Woodbury County,3,0,"103,107"
IA,Worth County,9,1,"7,381"
IA,Wright County,7,1,"12,562"
KS,Allen County,7,3,"12,369"
KS,Anderson County,6,1,"7,858"
KS,Atchison County,6,3,"16,073"
KS,Barber County,9,2,"4,427"
KS,Barton County,7,2,"25,779"
KS,Bourbon County,6,0,"14,534"
KS,Brown County,6,0,"9,564"
KS,Butler County,2,0,"66,911"
KS,Chase County,9,2,"2,648"
KS,Chautauqua County,8,2,"3,250"
KS,Cherokee County,6,3,"19,939"
KS,Cheyenne County,9,1,"2,657"
KS,Clark County,9,1,"1,994"
KS,Clay County,6,0,"8,002"
KS,Cloud County,7,0,"8,786"
KS,Coffey County,6,0,"8,179"
KS,Comanche County,9,1,"1,700"
KS,Cowley County,4,3,"34,908"
KS,Crawford County,4,0,"38,818"
KS,Decatur County,9,1,"2,827"
KS,Dickinson County,7,0,"18,466"
KS,Doniphan County,3,0,"7,600"
KS,Douglas County,3,4,"122,259"
KS,Edwards County,9,1,"2,798"
KS,Elk County,8,1,"2,530"
KS,Ellis County,5,2,"28,553"
KS,Ellsworth County,7,0,"6,102"
KS,Finney County,5,3,"36,467"
KS,Ford County,5,3,"33,619"
KS,Franklin County,6,0,"25,544"
KS,Geary County,4,4,"31,670"
KS,Gove County,9,1,"2,636"
KS,Graham County,9,2,"2,482"
KS,Grant County,7,2,"7,150"
KS,Gray County,9,1,"5,988"
KS,Greeley County,9,1,"1,232"
KS,Greenwood County,6,2,"5,982"
KS,Hamilton County,9,1,"2,539"
KS,Harper County,8,2,"5,436"
KS,Harvey County,2,0,"34,429"
KS,Haskell County,9,1,"3,968"
KS,Hodgeman County,9,1,"1,794"
KS,Jackson County,3,0,"13,171"
KS,Jefferson County,3,1,"19,043"
KS,Jewell County,9,1,"2,879"
KS,Johnson County,1,0,"602,401"
KS,Kearny County,9,1,"3,838"
KS,Kingman County,2,2,"7,152"
KS,Kiowa County,9,1,"2,475"
KS,Labette County,7,0,"19,618"
KS,Lane County,9,1,"1,535"
KS,Leavenworth County,1,4,"81,758"
KS,Lincoln County,9,1,"2,962"
KS,Linn County,1,1,"9,703"
KS,Logan County,9,1,"2,794"
KS,Lyon County,4,4,"33,195"
KS,McPherson County,7,3,"28,542"
KS,Marion County,6,1,"11,884"
KS,Marshall County,6,0,"9,707"
KS,Meade County,9,1,"4,033"
KS,Miami County,1,0,"34,237"
KS,Mitchell County,7,0,"5,979"
KS,Montgomery County,5,3,"31,829"
KS,Morris County,8,1,"5,620"
KS,Morton County,9,1,"2,587"
KS,Nemaha County,6,3,"10,231"
KS,Neosho County,7,0,"16,007"
KS,Ness County,9,2,"2,750"
KS,Norton County,7,0,"5,361"
KS,Osage County,3,1,"15,949"
KS,Osborne County,9,1,"3,421"
KS,Ottawa County,9,1,"5,704"
KS,Pawnee County,7,4,"6,414"
KS,Phillips County,7,0,"5,234"
KS,Pottawatomie County,3,0,"24,383"
KS,Pratt County,7,2,"9,164"
KS,Rawlins County,9,1,"2,530"
KS,Reno County,4,0,"61,998"
KS,Republic County,9,1,"4,636"
KS,Rice County,7,0,"9,537"
KS,Riley County,3,4,"74,232"
KS,Rooks County,9,0,"4,920"
KS,Rush County,9,1,"3,036"
KS,Russell County,7,2,"6,856"
KS,Saline County,5,0,"54,224"
KS,Scott County,7,1,"4,823"
KS,Sedgwick County,2,3,"516,042"
KS,Seward County,5,3,"21,428"
KS,Shawnee County,3,4,"176,875"
KS,Sheridan County,9,1,"2,521"
KS,Sherman County,7,1,"5,917"
KS,Smith County,9,1,"3,583"
KS,Stafford County,9,1,"4,156"
KS,Stanton County,9,1,"2,006"
KS,Stevens County,7,1,"5,485"
KS,Sumner County,2,0,"22,836"
KS,Thomas County,7,0,"7,777"
KS,Trego County,9,1,"2,803"
KS,Wabaunsee County,3,1,"6,931"
KS,Wallace County,9,1,"1,518"
KS,Washington County,9,1,"5,406"
KS,Wichita County,9,1,"2,119"
KS,Wilson County,7,3,"8,525"
KS,Woodson County,9,2,"3,138"
KS,Wyandotte County,1,0,"165,429"
KY,Adair County,7,1,"19,202"
KY,Allen County,3,1,"21,315"
KY,Anderson County,6,3,"22,747"
KY,Ballard County,9,3,"7,888"
KY,Barren County,6,3,"44,249"
KY,Bath County,8,1,"12,500"
KY,Bell County,7,2,"26,032"
KY,Boone County,1,0,"133,581"
KY,Bourbon County,2,3,"19,788"
KY,Boyd County,2,0,"46,718"
KY,Boyle County,7,0,"30,060"
KY,Bracken County,1,3,"8,303"
KY,Breathitt County,7,4,"12,630"
KY,Breckinridge County,8,1,"20,477"
KY,Bullitt County,1,0,"81,676"
KY,Butler County,3,3,"12,879"
KY,Caldwell County,7,0,"12,747"
KY,Calloway County,7,4,"39,001"
KY,Campbell County,1,4,"93,584"
KY,Carlisle County,9,1,"4,760"
KY,Carroll County,6,3,"10,631"
KY,Carter County,6,0,"26,797"
KY,Casey County,9,1,"16,159"
KY,Christian County,2,0,"70,461"
KY,Clark County,2,0,"36,263"
KY,Clay County,7,4,"19,901"
KY,Clinton County,9,3,"10,218"
KY,Crittenden County,7,1,"8,806"
KY,Cumberland County,9,0,"6,614"
KY,Daviess County,3,0,"101,511"
KY,Edmonson County,3,4,"12,150"
KY,Elliott County,9,4,"7,517"
KY,Estill County,6,0,"14,106"
KY,Fayette County,2,4,"323,152"
KY,Fleming County,7,1,"14,581"
KY,Floyd County,7,2,"35,589"
KY,Franklin County,4,4,"50,991"
KY,Fulton County,9,0,"5,969"
KY,Gallatin County,1,3,"8,869"
KY,Garrard County,6,0,"17,666"
KY,Grant County,1,0,"25,069"
KY,Graves County,7,0,"37,266"
KY,Grayson County,6,0,"26,427"
KY,Green County,8,1,"10,941"
KY,Greenup County,2,0,"35,098"
KY,Hancock County,3,3,"8,722"
KY,Hardin County,3,4,"110,958"
KY,Harlan County,7,2,"26,010"
KY,Harrison County,6,3,"18,886"
KY,Hart County,8,3,"19,035"
KY,Henderson County,2,3,"45,210"
KY,Henry County,1,1,"16,126"
KY,Hickman County,9,1,"4,380"
KY,Hopkins County,5,0,"44,686"
KY,Jackson County,9,0,"13,329"
KY,Jefferson County,1,0,"766,757"
KY,Jessamine County,2,0,"54,115"
KY,Johnson County,7,0,"22,188"
KY,Kenton County,1,0,"166,998"
KY,Knott County,9,2,"14,806"
KY,Knox County,7,0,"31,145"
KY,Larue County,3,0,"14,398"
KY,Laurel County,5,0,"60,813"
KY,Lawrence County,6,0,"15,317"
KY,Lee County,9,0,"7,403"
KY,Leslie County,9,2,"9,877"
KY,Letcher County,9,2,"21,553"
KY,Lewis County,8,1,"13,275"
KY,Lincoln County,7,0,"24,549"
KY,Livingston County,9,2,"9,194"
KY,Logan County,6,3,"27,102"
KY,Lyon County,9,4,"8,210"
KY,McCracken County,5,0,"65,418"
KY,McCreary County,9,4,"17,231"
KY,McLean County,3,1,"9,207"
KY,Madison County,4,4,"92,987"
KY,Magoffin County,9,0,"12,161"
KY,Marion County,7,3,"19,273"
KY,Marshall County,7,3,"31,100"
KY,Martin County,9,2,"11,195"
KY,Mason County,6,0,"17,070"
KY,Meade County,3,0,"28,572"
KY,Menifee County,9,4,"6,489"
KY,Mercer County,6,3,"21,933"
KY,Metcalfe County,9,3,"10,071"
KY,Monroe County,8,1,"10,650"
KY,Montgomery County,6,3,"28,157"
KY,Morgan County,9,4,"13,309"
KY,Muhlenberg County,6,4,"30,622"
KY,Nelson County,6,3,"46,233"
KY,Nicholas County,8,1,"7,269"
KY,Ohio County,6,3,"23,994"
KY,Oldham County,1,0,"66,799"
KY,Owen County,8,1,"10,901"
KY,Owsley County,9,0,"4,415"
KY,Pendleton County,1,2,"14,590"
KY,Perry County,7,2,"25,758"
KY,Pike County,7,2,"57,876"
KY,Powell County,6,0,"12,359"
KY,Pulaski County,5,0,"64,979"
KY,Robertson County,8,4,"2,108"
KY,Rockcastle County,7,0,"16,695"
KY,Rowan County,7,4,"24,460"
KY,Russell County,9,3,"17,923"
KY,Scott County,2,3,"57,004"
KY,Shelby County,1,3,"49,024"
KY,Simpson County,6,3,"18,572"
KY,Spencer County,1,1,"19,351"
KY,Taylor County,7,0,"25,769"
KY,Todd County,8,1,"12,294"
KY,Trigg County,2,5,"14,651"
KY,Trimble County,1,1,"8,471"
KY,Union County,6,2,"14,381"
KY,Warren County,3,0,"132,896"
KY,Washington County,9,3,"12,095"
KY,Wayne County,7,3,"20,333"
KY,Webster County,8,2,"12,942"
KY,Whitley County,7,0,"36,264"
KY,Wolfe County,9,0,"7,157"
KY,Woodford County,2,0,"26,734"
LA,Acadia Parish,2,0,"62,045"
LA,Allen Parish,6,4,"25,627"
LA,Ascension Parish,2,0,"126,604"
LA,Assumption Parish,6,3,"21,891"
LA,Avoyelles Parish,6,0,"40,144"
LA,Beauregard Parish,6,0,"37,497"
LA,Bienville Parish,6,3,"13,241"
LA,Bossier Parish,2,0,"127,039"
LA,Caddo Parish,2,0,"240,204"
LA,Calcasieu Parish,3,0,"203,436"
LA,Caldwell Parish,8,0,"9,918"
LA,Cameron Parish,3,0,"6,973"
LA,Catahoula Parish,9,0,"9,494"
LA,Claiborne Parish,6,2,"15,670"
LA,Concordia Parish,7,0,"19,259"
LA,De Soto Parish,2,2,"27,463"
LA,East Baton Rouge Parish,2,4,"440,059"
LA,East Carroll Parish,7,1,"6,861"
LA,East Feliciana Parish,2,4,"19,135"
LA,Evangeline Parish,6,0,"33,395"
LA,Franklin Parish,7,0,"20,015"
LA,Grant Parish,3,4,"22,389"
LA,Iberia Parish,2,2,"69,830"
LA,Iberville Parish,2,3,"32,511"
LA,Jackson Parish,6,0,"15,744"
LA,Jefferson Parish,1,0,"432,493"
LA,Jefferson Davis Parish,6,0,"31,368"
LA,Lafayette Parish,2,2,"244,390"
LA,Lafourche Parish,3,0,"97,614"
LA,LaSalle Parish,6,2,"14,892"
LA,Lincoln Parish,4,4,"46,742"
LA,Livingston Parish,2,0,"140,789"
LA,Madison Parish,7,0,"10,951"
LA,Morehouse Parish,6,0,"24,874"
LA,Natchitoches Parish,6,3,"38,158"
LA,Orleans Parish,1,4,"390,144"
LA,Ouachita Parish,3,0,"153,279"
LA,Plaquemines Parish,1,0,"23,197"
LA,Pointe Coupee Parish,2,0,"21,730"
LA,Rapides Parish,3,0,"129,648"
LA,Red River Parish,8,0,"8,442"
LA,Richland Parish,6,0,"20,122"
LA,Sabine Parish,6,0,"23,884"
LA,St. Bernard Parish,1,0,"47,244"
LA,St. Charles Parish,1,3,"53,100"
LA,St. Helena Parish,2,0,"10,132"
LA,St. James Parish,1,3,"21,096"
LA,St. John the Baptist Parish,1,3,"42,837"
LA,St. Landry Parish,4,0,"82,124"
LA,St. Martin Parish,2,5,"53,431"
LA,St. Mary Parish,4,2,"49,348"
LA,St. Tammany Parish,1,0,"260,419"
LA,Tangipahoa Parish,3,0,"134,758"
LA,Tensas Parish,9,1,"4,334"
LA,Terrebonne Parish,3,0,"110,461"
LA,Union Parish,3,3,"22,108"
LA,Vermilion Parish,2,2,"59,511"
LA,Vernon Parish,5,4,"47,429"
LA,Washington Parish,6,4,"46,194"
LA,Webster Parish,2,0,"38,340"
LA,West Baton Rouge Parish,2,0,"26,465"
LA,West Carroll Parish,9,1,"10,830"
LA,West Feliciana Parish,2,4,"15,568"
LA,Winn Parish,6,0,"13,904"
ME,Androscoggin County,3,0,"108,277"
ME,Aroostook County,7,0,"67,055"
ME,Cumberland County,2,5,"295,003"
ME,Franklin County,6,5,"30,199"
ME,Hancock County,6,5,"54,987"
ME,Kennebec County,4,4,"122,302"
ME,Knox County,7,5,"39,772"
ME,Lincoln County,8,5,"34,634"
ME,Oxford County,6,5,"57,975"
ME,Penobscot County,3,0,"152,148"
ME,Piscataquis County,8,3,"16,785"
ME,Sagadahoc County,2,3,"35,856"
ME,Somerset County,6,0,"50,484"
ME,Waldo County,6,5,"39,715"
ME,Washington County,7,0,"31,379"
ME,York County,2,4,"207,641"
MD,Allegany County,3,4,"70,416"
MD,Anne Arundel County,1,4,"579,234"
MD,Baltimore County,1,0,"827,370"
MD,Calvert County,1,5,"92,525"
MD,Caroline County,6,0,"33,406"
MD,Carroll County,1,0,"168,447"
MD,Cecil County,1,0,"102,855"
MD,Charles County,1,0,"163,257"
MD,Dorchester County,6,0,"31,929"
MD,Frederick County,1,0,"259,547"
MD,Garrett County,6,5,"29,014"
MD,Harford County,1,4,"255,441"
MD,Howard County,1,0,"325,690"
MD,Kent County,6,5,"19,422"
MD,Montgomery County,1,4,"1,050,688"
MD,Prince George's County,1,4,"909,327"
MD,Queen Anne's County,1,5,"50,381"
MD,St. Mary's County,3,4,"113,510"
MD,Somerset County,2,4,"25,616"
MD,Talbot County,6,5,"37,181"
MD,Washington County,2,0,"151,049"
MD,Wicomico County,2,0,"103,609"
MD,Worcester County,2,5,"52,276"
MD,Baltimore city,1,4,"593,490"
MA,Barnstable County,3,5,"212,990"
MA,Berkshire County,3,5,"124,944"
MA,Bristol County,1,0,"565,217"
MA,Dukes County,7,5,"17,332"
MA,Essex County,1,0,"789,034"
MA,Franklin County,4,0,"70,180"
MA,Hampden County,2,0,"466,372"
MA,Hampshire County,2,4,"160,830"
MA,Middlesex County,1,0,"1,611,699"
MA,Nantucket County,7,5,"11,399"
MA,Norfolk County,1,0,"706,775"
MA,Plymouth County,1,0,"521,202"
MA,Suffolk County,1,0,"803,907"
MA,Worcester County,2,0,"830,622"
MI,Alcona County,9,5,"10,405"
MI,Alger County,7,4,"9,108"
MI,Allegan County,4,3,"118,081"
MI,Alpena County,7,0,"28,405"
MI,Antrim County,9,5,"23,324"
MI,Arenac County,8,5,"14,883"
MI,Baraga County,9,4,"8,209"
MI,Barry County,2,3,"61,550"
MI,Bay County,3,0,"103,126"
MI,Benzie County,9,5,"17,766"
MI,Berrien County,3,3,"153,401"
MI,Branch County,6,0,"43,517"
MI,Calhoun County,3,3,"134,159"
MI,Cass County,2,0,"51,787"
MI,Charlevoix County,7,3,"26,143"
MI,Cheboygan County,7,5,"25,276"
MI,Chippewa County,7,4,"37,349"
MI,Clare County,6,5,"30,950"
MI,Clinton County,2,0,"79,595"
MI,Crawford County,7,4,"14,029"
MI,Delta County,5,3,"35,784"
MI,Dickinson County,7,0,"25,239"
MI,Eaton County,2,0,"110,268"
MI,Emmet County,7,5,"33,415"
MI,Genesee County,2,0,"405,813"
MI,Gladwin County,6,5,"25,449"
MI,Gogebic County,7,5,"13,975"
MI,Grand Traverse County,5,5,"93,088"
MI,Gratiot County,6,0,"40,711"
MI,Hillsdale County,6,3,"45,605"
MI,Houghton County,5,4,"35,684"
MI,Huron County,7,0,"30,981"
MI,Ingham County,2,4,"292,406"
MI,Ionia County,4,0,"64,697"
MI,Iosco County,7,5,"25,127"
MI,Iron County,7,5,"11,066"
MI,Isabella County,4,4,"69,872"
MI,Jackson County,3,0,"158,510"
MI,Kalamazoo County,2,0,"265,066"
MI,Kalkaska County,7,2,"18,038"
MI,Kent County,2,0,"656,955"
MI,Keweenaw County,9,5,"2,116"
MI,Lake County,9,5,"11,853"
MI,Lapeer County,1,0,"87,607"
MI,Leelanau County,9,5,"21,761"
MI,Lenawee County,4,3,"98,451"
MI,Livingston County,1,0,"191,995"
MI,Luce County,7,4,"6,229"
MI,Mackinac County,7,5,"10,799"
MI,Macomb County,1,3,"873,972"
MI,Manistee County,7,5,"24,558"
MI,Marquette County,5,5,"66,699"
MI,Mason County,7,5,"29,144"
MI,Mecosta County,6,4,"43,453"
MI,Menominee County,7,3,"22,780"
MI,Midland County,3,3,"83,156"
MI,Missaukee County,9,0,"15,118"
MI,Monroe County,3,0,"150,500"
MI,Montcalm County,2,0,"63,888"
MI,Montmorency County,9,5,"9,328"
MI,Muskegon County,3,3,"173,566"
MI,Newaygo County,6,5,"48,980"
MI,Oakland County,1,0,"1,257,584"
MI,Oceana County,6,5,"26,467"
MI,Ogemaw County,9,5,"20,997"
MI,Ontonagon County,9,5,"5,720"
MI,Osceola County,9,3,"23,460"
MI,Oscoda County,9,4,"8,241"
MI,Otsego County,7,5,"24,668"
MI,Ottawa County,2,3,"291,830"
MI,Presque Isle County,7,5,"12,592"
MI,Roscommon County,7,5,"24,019"
MI,Saginaw County,3,0,"190,539"
MI,St. Clair County,1,0,"159,128"
MI,St. Joseph County,4,3,"60,964"
MI,Sanilac County,6,0,"41,170"
MI,Schoolcraft County,7,5,"8,094"
MI,Shiawassee County,4,0,"68,122"
MI,Tuscola County,6,0,"52,245"
MI,Van Buren County,2,0,"75,677"
MI,Washtenaw County,2,4,"367,601"
MI,Wayne County,1,0,"1,749,343"
MI,Wexford County,7,3,"33,631"
MN,Aitkin County,8,5,"15,886"
MN,Anoka County,1,3,"356,921"
MN,Becker County,6,5,"34,423"
MN,Beltrami County,7,5,"47,188"
MN,Benton County,3,3,"40,889"
MN,Big Stone County,9,1,"4,991"
MN,Blue Earth County,3,0,"67,653"
MN,Brown County,6,0,"25,008"
MN,Carlton County,2,0,"35,871"
MN,Carver County,1,3,"105,089"
MN,Cass County,9,5,"29,779"
MN,Chippewa County,7,1,"11,800"
MN,Chisago County,1,0,"56,579"
MN,Clay County,3,0,"64,222"
MN,Clearwater County,8,0,"8,818"
MN,Cook County,9,5,"5,463"
MN,Cottonwood County,7,3,"11,196"
MN,Crow Wing County,4,5,"65,055"
MN,Dakota County,1,0,"429,021"
MN,Dodge County,3,0,"20,934"
MN,Douglas County,6,5,"38,141"
MN,Faribault County,6,1,"13,653"
MN,Fillmore County,3,0,"21,067"
MN,Freeborn County,7,0,"30,281"
MN,Goodhue County,4,0,"46,340"
MN,Grant County,9,1,"5,972"
MN,Hennepin County,1,0,"1,265,843"
MN,Houston County,3,0,"18,600"
MN,Hubbard County,7,5,"21,491"
MN,Isanti County,1,0,"40,596"
MN,Itasca County,6,5,"45,130"
MN,Jackson County,7,1,"9,846"
MN,Kanabec County,6,0,"16,337"
MN,Kandiyohi County,4,0,"43,199"
MN,Kittson County,9,1,"4,298"
MN,Koochiching County,6,3,"12,229"
MN,Lac qui Parle County,9,1,"6,623"
MN,Lake County,6,2,"10,641"
MN,Lake of the Woods County,9,5,"3,740"
MN,Le Sueur County,1,3,"28,887"
MN,Lincoln County,9,1,"5,639"
MN,Lyon County,7,0,"25,474"
MN,McLeod County,6,3,"35,893"
MN,Mahnomen County,8,0,"5,527"
MN,Marshall County,8,1,"9,336"
MN,Martin County,7,0,"19,683"
MN,Meeker County,6,0,"23,222"
MN,Mille Lacs County,1,0,"26,277"
MN,Morrison County,6,0,"33,386"
MN,Mower County,4,3,"40,062"
MN,Murray County,9,1,"8,194"
MN,Nicollet County,3,3,"34,274"
MN,Nobles County,7,3,"21,629"
MN,Norman County,8,1,"6,375"
MN,Olmsted County,3,0,"158,293"
MN,Otter Tail County,6,5,"58,746"
MN,Pennington County,6,0,"14,119"
MN,Pine County,6,5,"29,579"
MN,Pipestone County,6,1,"9,126"
MN,Polk County,3,0,"31,364"
MN,Pope County,8,1,"11,249"
MN,Ramsey County,1,0,"550,321"
MN,Red Lake County,8,1,"4,055"
MN,Redwood County,7,1,"15,170"
MN,Renville County,8,1,"14,548"
MN,Rice County,4,0,"66,972"
MN,Rock County,6,1,"9,315"
MN,Roseau County,7,3,"15,165"
MN,St. Louis County,2,5,"199,070"
MN,Scott County,1,0,"149,013"
MN,Sherburne County,1,0,"97,238"
MN,Sibley County,1,1,"14,865"
MN,Stearns County,3,0,"161,075"
MN,Steele County,5,3,"36,649"
MN,Stevens County,7,1,"9,805"
MN,Swift County,7,1,"9,266"
MN,Todd County,6,3,"24,664"
MN,Traverse County,9,1,"3,259"
MN,Wabasha County,3,3,"21,627"
MN,Wadena County,7,0,"13,682"
MN,Waseca County,6,3,"18,612"
MN,Washington County,1,0,"262,440"
MN,Watonwan County,6,1,"10,897"
MN,Wilkin County,6,1,"6,207"
MN,Winona County,4,3,"50,484"
MN,Wright County,1,0,"138,377"
MN,Yellow Medicine County,9,1,"9,709"
MS,Adams County,5,0,"30,693"
MS,Alcorn County,7,0,"36,953"
MS,Amite County,8,0,"12,297"
MS,Attala County,6,0,"18,174"
MS,Benton County,1,0,"8,259"
MS,Bolivar County,7,0,"30,628"
MS,Calhoun County,9,0,"14,361"
MS,Carroll County,9,1,"9,947"
MS,Chickasaw County,7,3,"17,103"
MS,Choctaw County,9,0,"8,210"
MS,Claiborne County,8,0,"8,988"
MS,Clarke County,9,0,"15,541"
MS,Clay County,7,0,"19,316"
MS,Coahoma County,7,0,"22,124"
MS,Copiah County,2,3,"28,065"
MS,Covington County,8,0,"18,636"
MS,DeSoto County,1,0,"184,945"
MS,Forrest County,3,4,"74,897"
MS,Franklin County,9,0,"7,713"
MS,George County,6,0,"24,500"
MS,Greene County,8,0,"13,586"
MS,Grenada County,7,3,"20,758"
MS,Hancock County,2,4,"47,632"
MS,Harrison County,2,0,"208,080"
MS,Hinds County,2,4,"231,840"
MS,Holmes County,6,0,"17,010"
MS,Humphreys County,6,0,"8,064"
MS,Issaquena County,8,1,"1,327"
MS,Itawamba County,7,3,"23,390"
MS,Jackson County,2,3,"143,617"
MS,Jasper County,9,3,"16,383"
MS,Jefferson County,8,0,"6,990"
MS,Jefferson Davis County,8,0,"11,128"
MS,Jones County,4,3,"68,098"
MS,Kemper County,9,0,"9,742"
MS,Lafayette County,4,4,"54,019"
MS,Lamar County,3,0,"63,343"
MS,Lauderdale County,5,0,"74,125"
MS,Lawrence County,8,3,"12,586"
MS,Leake County,6,0,"22,786"
